Jenis_Konflik,Mediasi,Final_Deskripsi_Summary
Konflik Kepengurusan Partai,Musyawarah,Ketua Umum Partai Demokrat Anas Urbaningrum meminta kader Demokrat dari pusat sampai daerah waspada dengan beredarnya isu dan tanda. tanda gerakan yang berencana mengganggu dan menggulingkan pemerintahan Presiden Susilo Bambang Yudhoyono. Soal itu saya ingin tanya ke saudara apa sudah siap?
Konflik Kepengurusan Partai,Musyawarah,Sudah beberapa pekan Partai Demokrat diguncang isu pelengseran Ketua Umum Anas Urbaningrum. Pengurus Dewan Pimpinan Daerah (DPD) beberapa daerah seperti Kalimantan Timur dan Jawa Tengah meminta Anas nonaktif dan mulai mendukung beberapa nama. Tetapi Wakil Ketua Dewan Pembina Marzuki Alie memastikan empat nama pengganti Anas tidak dibahas dalam rapat.
Konflik Kepengurusan Partai,Musyawarah,"Mantan Ketua Umum DPP Partai Demokrat Anas Urbaningrum ketika menjalankan tugasnya mengaku pernah berseberangan dengan Ketua Dewan Pembina Susilo Bambang Yudhoyono terkait beberapa keputusan politik. Saya harap beliau bisa mengerti dan memahami"" kata Anas pada wawancara dengan RCTI Rabu (27/2/2013). Mantan anggota KPU ini bahkan menyebut dirinya sebagai anak kecil yang baru belajar berpartai politik."
Konflik Kepengurusan Partai,Musyawarah,"Mantan Ketua Umum DPP Partai Demokrat Anas Urbaningrum ketika menjalankan tugasnya mengaku pernah berseberangan dengan Ketua Dewan Pembina Susilo Bambang Yudhoyono terkait beberapa keputusan politik. Saya harap beliau bisa mengerti dan memahami"" kata Anas pada wawancara dengan RCTI Rabu (27/2/2013). Mantan anggota KPU ini bahkan menyebut dirinya sebagai anak kecil yang baru belajar berpartai politik."
Konflik Kepengurusan Partai,Musyawarah,"Deputi Badan Pemenangan Pemilu (Bappilu) DPP Kamhar Lakumani menegaskan hingga saat ini tidak ada Kongres Luar Biasa di Partai Demokrat. Ia juga mengatakan KLB tersebut mempertontonkan praktek arogansi kekuasaan dari Kepala Kantor Staf Kepresidenan (KSP) Moeldoko yang berambisi mengambil alih Partai Demokrat untuk memenuhi syahwat politik di 2024. "" Insya Allah) KLB dilaksanakan pada Jumat siang (5 Maret 2021)."
Konflik Kepengurusan Partai,Musyawarah,Presidium Koalisi Aksi Menyelamatkan Indonesia (KAMI) mengaku pernah didatangi seseorang untuk terlibat dalam upaya atau penggulingan inskonstitusional terhadap Agus Harimurti Yudhoyono () dari kursi. Hal itu disampaikan Gatot dalam sesi wawancara di kanal Youtube Bang Arief pada Jumat (5/3/2021) tepatnya sebelum pelaksanaan Kongres Luar Biasa (KLB) kubu kontra. Tapi kalau begitu saya naik bintang tiga itu Presiden pasti tahu kan gitu.
Konflik Kepengurusan Partai,Musyawarah,"Mantan Wakil Ketua Dewan Pimpinan Cabang Partai Demokrat Kota Kotamobagu Gerald Piter Runtuthomas mengaku diiming. Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (). 000 karena merasa telah berkorban dengan melawan ketua DPC di daerahnya untuk dapat hadir di KLB tersebut. """
Konflik Kepengurusan Partai,Musyawarah,"Kader yang telah dipecat Darmizalmengklaim Kongres Luar Biasa () yang digelar kubu kontra. Ketua Umum Agus Harimurti Yudhoyono () akan menghasilkan Kepala Kantor Staf Kepresidenan (KSP) sebagai ketum baru. "" Peserta yang sudah menyatakan siap hadir sebanyak 1."
Konflik Kepengurusan Partai,Musyawarah,Kepala Badan Komunikasi Strategis DPP Partai Demokrat Herzaky Mahendra Putra menegaskan yang digelar oleh kubu yang kontra terhadap Ketua Umum Agus Harimurti Yudhoyono (AHY) dapat dipastikan inkonstitusional dan ilegal. Herzaky kemudian membeberkan syarat dan ketentuan KLB yang sah. Oleh karena itu ia menduga bahwa apabila KLB digelar oleh GPK.
Konflik Kepengurusan Partai,Musyawarah,"Kepala Badan Komunikasi Strategis Partai Herzaky Mahendra Putra menegaskan kongres luar biasa (KLB) yang digelar oleh kelompok kontra. Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) bukan masalah internal Partai Demokrat saja. "" Risikonya pemerintah dituding cuci tangan."
