Jenis_Konflik,Mediasi,Final_Deskripsi_Summary
Konflik Kepengurusan Partai,Musyawarah,Ketua Umum Partai Demokrat Anas Urbaningrum meminta kader Demokrat dari pusat sampai daerah waspada dengan beredarnya isu dan tanda-tanda gerakan yang berencana mengganggu dan menggulingkan pemerintahan Presiden Susilo Bambang Yudhoyono. Secara politik dan etis partai harus membela mengamankan dan memastikan kebijakan itu berjalan meski lahir dalam situasi sulit kata dia.
Konflik Kepengurusan Partai,Musyawarah,Sudah beberapa pekan Partai Demokrat diguncang isu pelengseran Ketua Umum Anas Urbaningrum. Tetapi Wakil Ketua Dewan Pembina Marzuki Alie memastikan empat nama pengganti Anas tidak dibahas dalam rapat.
Konflik Kepengurusan Partai,Musyawarah,Mantan Ketua Umum DPP Partai Demokrat Anas Urbaningrum ketika menjalankan tugasnya mengaku pernah berseberangan dengan Ketua Dewan Pembina Susilo Bambang Yudhoyono terkait beberapa keputusan politik. Mantan anggota KPU ini bahkan menyebut dirinya sebagai anak kecil yang baru belajar berpartai politik.
Konflik Kepengurusan Partai,Musyawarah,Mantan Ketua Umum DPP Partai Demokrat Anas Urbaningrum ketika menjalankan tugasnya mengaku pernah berseberangan dengan Ketua Dewan Pembina Susilo Bambang Yudhoyono terkait beberapa keputusan politik. Mantan anggota KPU ini bahkan menyebut dirinya sebagai anak kecil yang baru belajar berpartai politik.
Konflik Kepengurusan Partai,Musyawarah,"Deputi Badan Pemenangan Pemilu (Bappilu) DPP Kamhar Lakumani menegaskan hingga saat ini tidak ada Kongres Luar Biasa di Partai Demokrat. Ia juga mengatakan KLB tersebut mempertontonkan praktek arogansi kekuasaan dari Kepala Kantor Staf Kepresidenan (KSP) Moeldoko yang berambisi mengambil alih Partai Demokrat untuk memenuhi syahwat politik di 2024. """
Konflik Kepengurusan Partai,Musyawarah,Presidium Koalisi Aksi Menyelamatkan Indonesia (KAMI) mengaku pernah didatangi seseorang untuk terlibat dalam upaya atau penggulingan inskonstitusional terhadap Agus Harimurti Yudhoyono () dari kursi. Berkat jasa besar SBY itu lah yang membuat Gatot tanpa berpikir dua kali langsung menolak tawaran kudeta terhadap AHY.
Konflik Kepengurusan Partai,Musyawarah,Mantan Wakil Ketua Dewan Pimpinan Cabang Partai Demokrat Kota Kotamobagu Gerald Piter Runtuthomas mengaku diiming-imingi uang Rp 100 juta agar mengikuti kongres luar biasa yang digelar kubu kontra-Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (). Diberitakan sebelumnya KLB yang digelar oleh kubu kontra-AHY di Deli Serdang pada Jumat (5/3/2021) menetapkan Kepala Staf Kepresidenan Moeldoko sebagai ketua umum Partai Demokrat periode 2021-2025.
Konflik Kepengurusan Partai,Musyawarah,"Kader yang telah dipecat Darmizalmengklaim Kongres Luar Biasa () yang digelar kubu kontra-Ketua Umum Agus Harimurti Yudhoyono () akan menghasilkan Kepala Kantor Staf Kepresidenan (KSP) sebagai ketum baru. "" Lebih baik waktunya dipakai buat bantu rakyat saja yang sedang kesulitan karena pandemi dan bencana"" kata Herzaky dalam siaran pers Rabu (3/3/2021)."
Konflik Kepengurusan Partai,Musyawarah,"Kepala Badan Komunikasi Strategis DPP Partai Demokrat Herzaky Mahendra Putra menegaskan yang digelar oleh kubu yang kontra terhadap Ketua Umum Agus Harimurti Yudhoyono (AHY) dapat dipastikan inkonstitusional dan ilegal. Terdiri DPC DPD Organisasi Sayap dan semua tamu undangan"" kata Darmizal dalam keterangannya Kamis (4/3/2021) malam."
Konflik Kepengurusan Partai,Musyawarah,"Kepala Badan Komunikasi Strategis Partai Herzaky Mahendra Putra menegaskan kongres luar biasa (KLB) yang digelar oleh kelompok kontra-Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) bukan masalah internal Partai Demokrat saja. "" Tapi kalau melarang atau mendorong bisa dituding intervensi memecah belah dan sebagainya"" ujar mantan Ketua Mahkamah Konstitusi tersebut."
